timestamp_utc,pm25,temperature_c,humidity,pressure,sea_level_pressure,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,humidity_lag_1,humidity_lag_12,humidity_lag_24,humidity_lag_3,humidity_lag_6,pm25_lag_1,pm25_lag_12,pm25_lag_24,pm25_lag_3,pm25_lag_6,sea_level_pressure_lag_1,sea_level_pressure_lag_12,sea_level_pressure_lag_24,sea_level_pressure_lag_3,sea_level_pressure_lag_6,temperature_c_lag_1,temperature_c_lag_12,temperature_c_lag_24,temperature_c_lag_3,temperature_c_lag_6,humidity_rollmean_12,humidity_rollmean_24,humidity_rollmean_3,pm25_rollmean_12,pm25_rollmean_24,pm25_rollmean_3,sea_level_pressure_rollmean_12,sea_level_pressure_rollmean_24,sea_level_pressure_rollmean_3,temperature_c_rollmean_12,temperature_c_rollmean_24,temperature_c_rollmean_3
2025-01-02 00:00:00+00:00,8.1,4.333333333333334,63.0,1006.41,1007.7740184746859,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,63.0,76.0,56.0,68.0,68.0,8.8,0.0,1.0,3.9,2.7,1007.4408451428499,1002.2257402384531,1007.589200320402,1006.1463885485207,1004.1983890157987,4.888888888888889,6.555555555555555,11.555555555555555,5.444444444444445,6.555555555555555,69.25,66.0,65.66666666666667,3.6833333333333336,2.0208333333333335,6.300000000000001,1004.1876137988978,1003.3957741713024,1006.764792732149,6.37037037037037,8.824074074074074,5.2592592592592595
2025-01-02 01:00:00+00:00,6.4,5.444444444444445,64.0,1006.91,1008.2692503840514,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,63.0,74.0,57.0,66.0,68.0,8.1,0.2,0.5,6.2,3.0,1007.7740184746859,1002.155646119461,1006.8081699939954,1006.707144505076,1004.94939743357,4.333333333333334,6.555555555555555,11.555555555555555,5.444444444444445,6.555555555555555,68.16666666666667,66.29166666666667,64.0,4.358333333333333,2.316666666666667,7.7,1004.6499703185838,1003.4034749277308,1007.3073360408706,6.185185185185186,8.523148148148147,4.888888888888889
2025-01-02 02:00:00+00:00,3.9,5.444444444444445,63.0,1007.8,1009.1604518150053,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,64.0,72.0,57.0,63.0,66.0,6.4,0.2,0.4,8.8,6.4,1008.2692503840514,1002.1356192283205,1005.9870868303371,1007.4408451428499,1005.550204167787,5.444444444444445,6.555555555555555,11.555555555555555,4.888888888888889,6.555555555555555,67.33333333333333,66.58333333333333,63.333333333333336,4.875,2.5625,7.766666666666667,1005.159437340633,1003.4643532773165,1007.828038000529,6.092592592592593,8.268518518518517,4.888888888888889
2025-01-02 03:00:00+00:00,2.1,5.444444444444445,61.0,1008.49,1009.8513832614752,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,63.0,71.0,59.0,63.0,68.0,3.9,3.8,0.4,8.1,3.9,1009.1604518150053,1002.4133261171646,1004.4951186427143,1007.7740184746859,1006.1463885485207,5.444444444444445,7.111111111111111,11.555555555555555,4.333333333333334,5.444444444444445,66.58333333333333,66.83333333333333,63.333333333333336,5.183333333333334,2.7083333333333335,6.133333333333333,1005.7448400561901,1003.5965768183443,1008.4012402245809,6.0,8.01388888888889,5.074074074074074
2025-01-02 04:00:00+00:00,2.1,4.888888888888889,59.0,1009.06,1010.4248759540434,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,61.0,70.0,60.0,64.0,66.0,2.1,4.0,0.5,6.4,6.2,1009.8513832614752,1002.7938360354766,1003.3035467344786,1008.2692503840514,1006.707144505076,5.444444444444445,7.111111111111111,11.555555555555555,5.444444444444445,5.444444444444445,65.75,66.91666666666667,62.666666666666664,5.041666666666667,2.779166666666667,4.133333333333334,1006.3646781515494,1003.8197545107927,1009.0936951535106,5.861111111111111,7.7592592592592595,5.4444444444444455
2025-01-02 05:00:00+00:00,1.8,3.2222222222222223,60.0,1009.87,1011.2442136246348,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,59.0,69.0,61.0,63.0,63.0,2.1,5.0,0.3,3.9,8.8,1010.4248759540434,1003.5348290342946,1002.1620408728074,1009.1604518150053,1007.4408451428499,4.888888888888889,7.111111111111111,11.555555555555555,5.444444444444445,4.888888888888889,64.83333333333333,66.875,61.0,4.883333333333334,2.845833333333333,2.6999999999999997,1007.0005981447631,1004.1164765616078,1009.8122370101746,5.6759259259259265,7.481481481481481,5.2592592592592595
2025-01-02 06:00:00+00:00,2.6,2.666666666666667,60.0,1010.74,1012.118169387911,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,60.0,68.0,62.0,61.0,63.0,1.8,2.7,0.2,2.1,8.1,1011.2442136246348,1004.1983890157987,1000.609993429307,1009.8513832614752,1007.7740184746859,3.2222222222222223,6.555555555555555,11.555555555555555,5.444444444444445,4.333333333333334,64.08333333333333,66.83333333333333,60.0,4.616666666666666,2.908333333333333,2.0,1007.6430468606248,1004.4949004262675,1010.5068242800511,5.351851851851852,7.1342592592592595,4.518518518518519
2025-01-02 07:00:00+00:00,2.9,2.666666666666667,60.0,1011.75,1013.1295465482904,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,60.0,68.0,61.0,59.0,64.0,2.6,3.0,0.3,2.1,6.4,1012.118169387911,1004.94939743357,999.7062348048197,1010.4248759540434,1008.2692503840514,2.666666666666667,6.555555555555555,12.11111111111111,4.888888888888889,5.444444444444445,63.416666666666664,66.75,59.666666666666664,4.608333333333333,3.0083333333333333,2.1666666666666665,1008.3030285583009,1004.9744077578758,1011.2624196555298,5.027777777777778,6.763888888888889,3.592592592592593
2025-01-02 08:00:00+00:00,1.8,2.1111111111111107,61.0,1012.56,1013.9434390924362,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,60.0,66.0,63.0,60.0,63.0,2.9,6.4,0.5,1.8,3.9,1013.1295465482904,1005.550204167787,999.3983951024455,1011.2442136246348,1009.1604518150053,2.666666666666667,6.555555555555555,11.555555555555555,3.2222222222222223,5.444444444444445,62.75,66.70833333333333,60.0,4.6000000000000005,3.1166666666666667,2.433333333333333,1008.9847076511942,1005.5337124138538,1012.1639765202787,4.703703703703704,6.37037037037037,2.8518518518518525
2025-01-02 09:00:00+00:00,1.5,2.1111111111111107,61.0,1013.52,1014.9047507199236,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,61.0,68.0,69.0,60.0,61.0,1.8,3.9,0.1,2.6,2.1,1013.9434390924362,1006.1463885485207,999.495957949774,1012.118169387911,1009.8513832614752,2.1111111111111107,5.444444444444445,12.11111111111111,2.666666666666667,5.444444444444445,62.333333333333336,66.625,60.333333333333336,4.216666666666667,3.170833333333333,2.433333333333333,1009.684143894915,1006.1397559134367,1013.0637183428793,4.333333333333333,5.976851851851852,2.4814814814814814
