timestamp_utc,pm25,temperature_c,humidity,pressure,sea_level_pressure,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,humidity_lag_1,humidity_lag_12,humidity_lag_24,humidity_lag_3,humidity_lag_6,pm25_lag_1,pm25_lag_12,pm25_lag_24,pm25_lag_3,pm25_lag_6,sea_level_pressure_lag_1,sea_level_pressure_lag_12,sea_level_pressure_lag_24,sea_level_pressure_lag_3,sea_level_pressure_lag_6,temperature_c_lag_1,temperature_c_lag_12,temperature_c_lag_24,temperature_c_lag_3,temperature_c_lag_6,humidity_rollmean_12,humidity_rollmean_24,humidity_rollmean_3,pm25_rollmean_12,pm25_rollmean_24,pm25_rollmean_3,sea_level_pressure_rollmean_12,sea_level_pressure_rollmean_24,sea_level_pressure_rollmean_3,temperature_c_rollmean_12,temperature_c_rollmean_24,temperature_c_rollmean_3
2025-01-02 00:00:00+00:00,0.5,2.666666666666667,53.0,1004.28,1005.5248112072844,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,54.0,78.0,65.0,59.0,58.0,0.4,35.1,5.5,0.1,1.8,1004.6437204418978,998.583901604112,1005.4750243677609,1003.2770488358391,999.6002840435569,2.666666666666667,5.444444444444445,7.111111111111111,3.7777777777777777,6.555555555555555,63.833333333333336,69.45833333333333,56.666666666666664,12.466666666666667,14.625,0.23333333333333336,1000.8269654842755,1000.3163660379297,1003.9403576623058,5.768518518518518,6.231481481481481,3.2222222222222228
2025-01-02 01:00:00+00:00,0.4,2.666666666666667,50.0,1004.87,1006.1155425158959,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,53.0,76.0,66.0,57.0,61.0,0.5,31.6,7.1,0.2,0.5,1005.5248112072844,998.9695140171667,1003.4125114972629,1003.9003037091807,1000.6088321062438,2.666666666666667,6.555555555555555,7.111111111111111,3.2222222222222223,4.888888888888889,61.75,68.95833333333333,54.666666666666664,9.583333333333334,14.416666666666666,0.3666666666666667,1001.4053746178732,1000.3184404895766,1004.689611786121,5.537037037037037,6.046296296296297,2.8518518518518525
2025-01-02 02:00:00+00:00,0.2,2.1111111111111107,44.0,1005.69,1006.9390760874672,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,50.0,72.0,69.0,54.0,60.0,0.4,27.7,11.2,0.4,0.2,1006.1155425158959,999.5778395098807,1001.9131074736543,1004.6437204418978,1002.1632032941382,2.666666666666667,7.111111111111111,6.555555555555555,2.666666666666667,4.333333333333334,59.583333333333336,68.29166666666667,52.333333333333336,6.983333333333333,14.137500000000001,0.43333333333333335,1002.0008769927673,1000.4310667820197,1005.4280247216926,5.212962962962963,5.861111111111111,2.6666666666666665
2025-01-02 03:00:00+00:00,0.4,2.1111111111111107,45.0,1006.08,1007.329560470999,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,44.0,68.0,77.0,53.0,59.0,0.2,23.9,10.8,0.5,0.1,1006.9390760874672,999.8433560728321,1000.6740242448424,1005.5248112072844,1003.2770488358391,2.1111111111111107,8.222222222222221,6.0,2.666666666666667,3.7777777777777777,57.25,67.25,49.0,4.691666666666666,13.679166666666667,0.3666666666666667,1002.6143133742329,1000.6404821409286,1006.1931432702158,4.796296296296297,5.6759259259259265,2.4814814814814814
2025-01-02 04:00:00+00:00,0.8,1.5555555555555554,47.0,1006.34,1007.5924123898357,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,45.0,63.0,78.0,50.0,57.0,0.4,16.4,3.6,0.4,0.2,1007.329560470999,999.5429915666368,998.8545524553825,1006.1155425158959,1003.9003037091807,2.1111111111111107,8.222222222222221,7.666666666666666,2.666666666666667,3.2222222222222223,55.333333333333336,65.91666666666667,46.333333333333336,2.733333333333333,13.245833333333332,0.3333333333333333,1003.2381637407467,1000.9177961503518,1006.7947263581208,4.287037037037037,5.513888888888889,2.2962962962962963
2025-01-02 05:00:00+00:00,0.7,1.0,51.0,1006.7,1007.9554005776722,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,47.0,60.0,76.0,44.0,54.0,0.8,11.7,9.1,0.2,0.4,1007.5924123898357,999.2125906098219,998.1937489544999,1006.9390760874672,1004.6437204418978,1.5555555555555554,8.222222222222221,7.666666666666666,2.1111111111111107,2.666666666666667,54.0,64.625,45.333333333333336,1.4333333333333333,13.129166666666665,0.46666666666666673,1003.9089488093467,1001.2818736476206,1007.2870163161006,3.7314814814814814,5.259259259259259,1.9259259259259256
2025-01-02 06:00:00+00:00,1.3,1.0,52.0,1007.41,1008.6662859798874,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,51.0,58.0,77.0,45.0,53.0,0.7,1.8,9.7,0.4,0.5,1007.9554005776722,999.6002840435569,997.7380106323097,1007.329560470999,1005.5248112072844,1.0,6.555555555555555,6.555555555555555,2.1111111111111107,2.666666666666667,53.25,63.583333333333336,47.666666666666664,0.5166666666666667,12.779166666666667,0.6333333333333333,1004.6375163066676,1001.6886091319194,1007.6257911461689,3.1296296296296298,4.981481481481482,1.5555555555555554
2025-01-02 07:00:00+00:00,1.5,0.44444444444444464,55.0,1008.13,1009.3897379565585,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,52.0,61.0,77.0,47.0,50.0,1.3,0.5,16.4,0.8,0.4,1008.6662859798874,1000.6088321062438,998.1685362058777,1007.5924123898357,1006.1155425158959,1.0,4.888888888888889,6.555555555555555,1.5555555555555554,2.666666666666667,52.75,62.541666666666664,50.0,0.47500000000000003,12.429166666666667,0.9333333333333332,1005.3930164680283,1002.1439539380685,1008.0713663157985,2.6666666666666665,4.75,1.1851851851851851
2025-01-02 08:00:00+00:00,1.4,1.0,57.0,1008.51,1009.7676577297985,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,55.0,60.0,78.0,51.0,44.0,1.5,0.2,26.5,0.7,0.2,1009.3897379565585,1002.1632032941382,998.1685362058777,1007.9554005776722,1006.9390760874672,0.44444444444444464,4.333333333333334,6.555555555555555,1.0,2.1111111111111107,52.25,61.625,52.666666666666664,0.5583333333333333,11.808333333333332,1.1666666666666667,1006.1247586222213,1002.6115040110135,1008.6704748380394,2.2962962962962963,4.49537037037037,0.8148148148148149
2025-01-02 09:00:00+00:00,1.4,1.0,56.0,1008.81,1010.0680318434106,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,57.0,59.0,80.0,52.0,45.0,1.4,0.1,28.8,1.3,0.4,1009.7676577297985,1003.2770488358391,998.1585239832366,1008.6662859798874,1007.329560470999,1.0,3.7777777777777777,6.555555555555555,1.0,2.1111111111111107,52.0,60.75,54.666666666666664,0.6583333333333333,10.762500000000001,1.4000000000000001,1006.7584631585264,1003.094800741177,1009.274560555415,2.0185185185185186,4.263888888888888,0.8148148148148149
